XCOORD;YCOORD;GEOLAT;GEOLON;UNIT;UNITAREA;U;TH;RHO;K;PVEL;METAM;SIO2;FE2O3;POR;XEUREF;YEUREF
7607800;3358850;68.51833618;23.54182664;39;24592;9.05;41.7;2611;3.1208;#N/A;0;75.9;0.64;0.73;358555.3098;7604691.026
6862630;3332320;61.833542;23.8131134;24;16584.2;6.63;48;2630;4.5069;5410;1;72.7;1.6736466;0.7;332039.524;6859783.495
7447140;3425610;67.10422883;25.28310116;39;24592;1.29;69.2;2610;3.8595;#N/A;0;73.6;1.8;1.27;425291.2795;7444086.365
7409770;3498310;66.77835726;26.95768397;39;24592;9.5;37.2;2666;3.6271;5630;0;70.1;2.37;0.53;497965.4985;7406729.311
7217638;3584919;65.04448068;28.79958426;76;55413.3;3.17;60.3;2636;4.5069;5600;0;73.5;1.47;0.53;584543.845;7214665.918
6967750;3455050;62.81089993;26.11525922;15;44421.3;13.3;22.4;2620;4.9136;4940;1;73.5;1.4936846;0.71;454723.8002;6964866.899
6767900;3571720;61.0139374;28.32300617;8;9523.8;5.28;51.3;2653;4.6231;4230;1;70.6;2.4654794;0.44;571354.6225;6765091.819
6684350;3252930;60.19557135;22.54059896;14;13371;8.04;41;2632;5.0132;5450;0;72.6;1.5836656;0.4;252680.5463;6681567.782
7416790;3488700;66.84109621;26.73869141;39;24592;9.68;36.7;2574;4.4986;3190;0;74.7;0.97;2.34;488358.9227;7413746.86
7046610;3565980;63.51507854;28.32209996;76;55413.3;4.44;56.2;2670;2.0169;4910;3;72.7;1.72;0.61;565612.9104;7043699.815
6683970;3288810;60.21233016;23.1863363;14;13371;8.67;37.8;2623;4.8721;5020;0;73.9;1.709639;0.81;288547.5287;6681188.298
6935720;3213040;62.41536303;21.43947019;9;3089.7;5.64;49.8;2601;4.7891;4270;1;74.5;1.8985991;1.03;212801.069;6932845.082
7136611;3366787;64.30257675;24.24356119;15;44421.3;5.65;48.3;2656;4.6397;6090;1;69.1;3.02;0.4;366489.969;7133665.717
6811610;3558490;61.40829391;28.09192592;15;44421.3;18.9;0.46;2613;4.4571;5170;0;73.6;0.69465332;0.8;558128.8659;6808785.252
6668140;3349230;60.09725827;24.28653161;14;13371;5.54;48.1;2644;4.5982;5620;1;72.9;1.9435896;0.3;348945.8422;6665364.713
7400140;3576500;66.68253147;28.7275104;39;24592;2.21;61.5;2628;4.0421;#N/A;0;72.9;1.98;#N/A;576128.0414;7397102.43
7428150;3468150;66.94148832;26.26762055;39;24592;5.01;49.7;2629;4.7891;4970;0;72;1.87;0.7;467816.3113;7425102.883
7410730;3525240;66.78594386;27.56967836;39;24592;3.03;58.2;2626;3.8678;#N/A;3;74.6;1.33;1.37;524885.9797;7407688.867
6695540;3251360;60.29474188;22.49863732;14;13371;9.18;34;2734;2.5066;5500;0;62.7;5.4798429;0.45;251111.0316;6692753.614
6766320;3482820;61.00585563;26.67928599;8;9523.8;8.35;36.5;2625;4.6812;4010;1;73.3;2.2675212;0.61;482486.5693;6763510.944
7006459;3341095;63.12590952;23.84620209;24;16584.2;16.1;7.74;2645;4.1666;5140;0;75.2;0.59;0.67;340809.3636;7003560.378
7406230;3443350;66.74135318;25.7109341;39;24592;5.09;48.5;2628;4.4239;2860;0;70.1;2.23;1.31;443025.1005;7403190.614
6734500;3467150;60.71930317;26.39506637;8;9523.8;9.67;30.1;2663;4.5899;5320;1;69.3;4.1031336;0.43;466822.5339;6731702.176
6885400;3202730;61.95801536;21.32610499;9;3089.7;7.26;39.8;2631;4.6646;4990;0;75.4;1.7726257;0.49;202495.4627;6882543.141
7151980;3454950;64.46337887;26.06018996;39;24592;11.1;27.2;2629;3.3947;4820;0;74.2;1.73;0.53;454621.4618;7149030.19
7403770;3488160;66.72432501;26.72768763;39;24592;4.1;52.3;2630;3.9508;4260;0;71.9;2.01;1.03;487819.1315;7400731.444
7324288;3578702;66.00208577;28.72985528;76;55413.3;5.32;46.5;2637;4.6231;5680;0;72.1;1.44;0.58;578329.1044;7321277.589
7685080;3565550;69.23881026;28.6521457;12;940.7;6.83;41.3;2625;4.482;4730;0;74;1.4216998;0.63;565183.7803;7681940.696
6689520;3103370;60.12397326;19.85285262;9;3089.7;9.88;30.3;2601;4.6397;5140;1;75.9;1.5206789;0.58;103174.6524;6686734.323
6876490;3643440;61.96780869;29.73192274;14;13371;2.44;57.3;2633;4.4405;4660;0;72.6;2.4474832;0.64;643047.3095;6873642.844
7128700;3426838;64.2497388;25.48768009;24;16584.2;8.91;33.2;2639;4.3409;6020;1;73.6;1.82;0.5;426519.7415;7125758.286
7537850;3479700;67.92606425;26.51204036;12;940.7;4.93;50.9;2589;3.2121;2410;0;72.1;3.2573122;2.68;479362.9216;7534764.468
7386040;3485260;66.56521088;26.66411147;39;24592;7.89;35.8;2644;4.98;4930;3;72.8;2.39;0.73;484920.0943;7383007.687
7291400;3431440;65.7095138;25.50311895;76;55413.3;8.01;35.3;2652;4.1085;5090;3;69.3;2.28;0.65;431119.0543;7288401.174
6761740;3212630;60.86085791;21.7049565;9;3089.7;3.96;49.6;2638;4.8721;#N/A;1;71.1;3.0773502;0.74;212394.317;6758928.531
7395620;3536040;66.64938806;27.81062793;39;24592;2.59;54.9;2622;4.9302;4990;0;73;1.72;0.66;535682.0106;7392584.238
6763800;3546470;60.98091447;27.85520751;8;9523.8;9.49;28.2;2670;4.4986;#N/A;1;69.7;3.7432096;1.03;546113.8194;6760992.903
7334820;3531600;66.10468653;27.69502064;39;24592;8;31.6;2671;5.9428;5330;3;73.8;3.16;0.57;531243.6941;7331805.869
7415240;3464420;66.82531993;26.18618027;39;24592;4.75;47.2;2613;4.1749;4550;0;74.8;1.15;0.7;464087.686;7412197.433
7619300;3397320;68.63806353;24.47028885;39;24592;3.87;50.9;2626;3.5939;4260;0;72.9;1.22;0.91;397012.1308;7616186.332
6706810;3134690;60.30727875;20.38130654;9;3089.7;10.2;25;2671;4.4156;#N/A;1;70.5;3.509259;0.53;134483.1222;6704018.383
7691650;3565170;69.29777321;28.64701081;12;940.7;5.74;42.6;2623;4.5484;4160;0;74;1.4666903;0.56;564803.9537;7688508.314
6830010;3371240;61.55623575;24.57423734;24;16584.2;17.1;1.71;2636;3.2702;4800;1;76;0.46430196;0.54;370946.1077;6827175.858
6763230;3351800;60.95067043;24.26157808;14;13371;10.8;23.9;2633;4.1915;5780;1;73.3;1.4576922;0.58;351514.0223;6760419.584
7378160;3354820;66.46088404;23.73859447;39;24592;13.4;15.9;2606;3.3698;#N/A;0;76.2;0.67;0.6;354525.7969;7375130.302
7695790;3568900;69.33394311;28.74445986;12;940.7;6.26;40.4;2612;4.4654;4720;0;74.6;1.1967473;0.66;568532.6043;7692646.748
7403310;3473850;66.71930649;26.40341176;39;24592;7.12;37.3;2613;4.2745;3110;0;73.4;1.76;1.37;473514.2565;7400271.621
6705210;3364960;60.43516191;24.54420114;14;13371;1.44;54.8;2631;6.5487;#N/A;0;67.2;0.9448005;0.71;364669.9432;6702421.238
7500930;3396290;67.57742706;24.5599564;39;24592;13.3;15.9;2605;3.2204;#N/A;0;75.8;0.6;1.49;395981.688;7497857.641
6684420;3209690;60.16774034;21.7641124;14;13371;5.06;43.4;2643;4.7476;5630;3;72.3;1.6016618;0.32;209456.3749;6681637.322
7366610;3373650;66.36567456;24.17213445;39;24592;8.7;30.6;2640;4.233;5350;3;75.9;1.42;0.54;373349.2813;7363584.434
6799920;3374190;61.28741914;24.65006925;15;44421.3;9.65;27.5;2630;4.0753;5650;1;73.3;1.3317188;0.72;373895.4481;6797096.684
7159147;3373019;64.50687473;24.35277943;39;24592;11.8;22.7;2616;1.9837;5900;1;76.8;0.89;0.77;372719.3628;7156193.71
6798760;3212940;61.19187777;21.65511645;9;3089.7;10.9;22.6;2654;3.7018;5600;1;74.4;1.3677112;0.55;212703.5058;6795934.926
7217460;3517210;65.05326895;27.36187042;58;2653.2;6.51;38.6;2639;4.15;5940;0;74;1.27;0.46;516858.8301;7214487.688
6777920;3478090;61.10971736;26.59051198;8;9523.8;4.64;45.8;2619;4.2828;#N/A;0;75.6;1.9615858;1.44;477758.1878;6775106.669
7096250;3540420;63.96415498;27.82149162;39;24592;8.45;32.1;2618;3.7433;4210;0;74.4;1.04;0.76;540061.3249;7093321.536
7348760;3517100;66.23080445;27.37621406;76;55413.3;3.21;51.5;2622;3.6769;#N/A;3;72.7;1.53;0.64;516748.756;7345740.896
7462550;3368850;67.2228287;23.96055929;39;24592;11.6;20.6;2593;3.6852;#N/A;0;75.7;0.45;1.08;368551.0277;7459491.082
6745090;3528420;60.81471088;27.51909595;8;9523.8;8.06;31;2651;4.6065;#N/A;1;69.7;3.689221;0.72;528070.6353;6742289.417
6687870;3412970;60.29280762;25.42324269;14;13371;2.39;52.5;2631;4.5899;5270;0;72.6;1.2777302;0.41;412662.9345;6685088.233
7227500;3498120;65.14374938;26.95625491;39;24592;2.66;50.9;2611;5.2041;4950;0;75.6;0.73;0.84;497775.5834;7224524.057
6721020;3270940;60.5343342;22.82253786;14;13371;12.2;16.4;2620;4.1168;4800;1;73.2;1.3407169;0.62;270683.641;6718224.3
7089851;3580480;63.89984547;28.63549964;68;1730.9;4.47;45.1;2640;3.7599;5350;0;73.2;1.41;0.69;580107;7086925.127
6685030;3373000;60.25679966;24.70285499;8;9523.8;5.75;38.1;2657;4.9219;#N/A;1;70.4;3.1943255;0.67;372707.1694;6682248.714
7156063;3397575;64.4875302;24.86569101;35;6197.2;6.39;36.9;2674;3.7018;6220;0;69.7;3.01;0.3;397266.7087;7153111.132
6717250;3505600;60.56581966;27.09901577;8;9523.8;7.01;34.6;2632;4.4405;5030;1;71.9;2.6634376;0.69;505259.0909;6714459.188
6785070;3544450;61.17200636;27.82283604;8;9523.8;6.3;35.8;2644;5.2207;4280;1;71.8;1.8446105;0.89;544094.2283;6782254.982
7175670;3528050;64.67772566;27.58391023;75;3114.8;8.44;22.2;2877;5.3618;3740;3;54.7;9.08;1.02;527695.1337;7172712.654
6795690;3485490;61.26953005;26.72636686;14;13371;10.8;21.3;2613;4.0919;4960;0;73.8;1.079772;1;485155.2961;6792870.228
6714180;3538950;60.53643771;27.7064666;8;9523.8;7.82;31.2;2621;4.7559;4800;1;74.4;1.7276352;0.72;538597.2918;6711390.878
7150100;3467300;64.44793313;26.3172417;39;24592;4.62;43.6;2627;4.2745;4870;0;74.2;1.09;0.61;466967.1087;7147151.021
7105593;3371192;64.02632176;24.36103386;15;44421.3;7.9;30.1;2672;4.4073;6250;0;69.9;2.8;0.24;370893.8817;7102658.995
6658650;3295600;59.9890011;23.33386964;15;44421.3;5.46;38.9;2680;4.3907;5220;3;65.1;4.2471032;0.47;295335.2793;6655877.613
6679840;3108520;60.04270202;19.9632826;13;33.5;10.8;20.4;2614;4.5816;5840;1;74.4;0.64876301;0.44;108322.9476;6677057.92
6856950;3384410;61.80197755;24.8047062;23;1768.2;3.53;47.5;2615;4.5152;4500;1;75;1.4576922;0.72;384111.0173;6854106.336
6939480;3393000;62.54452509;24.91716695;24;16584.2;7.12;34;2620;4.3077;4930;1;72.2;2.4114908;0.55;392696.628;6936606.4
7093450;3565470;63.93524994;28.33145531;68;1730.9;9.68;24.4;2600;4.7227;4760;0;72.3;0.62;0.81;565102.3481;7090522.715
6844100;3423050;61.69646473;25.54259001;24;16584.2;2.66;49.7;2627;4.6563;4860;0;73.7;2.0335706;0.65;422737.4292;6841261.522
7747570;3557170;69.80068967;28.47865362;85;3786.1;6.07;34.1;2800;3.6935;#N/A;3;67.6;4.31;#N/A;556807.6916;7744408.297
7542950;3373410;67.9447036;23.97517848;45;1560.4;7.4;32.6;2633;4.0006;5230;0;74.1;1.24;0.58;373109.8364;7539863.281
6996120;3473080;63.06719595;26.46413025;24;16584.2;9.68;23.6;2645;4.1002;5530;0;72.6;2.06;0.59;472746.7988;6993226.804
7163750;3463350;64.56995603;26.23177597;39;24592;2.51;50.6;2621;4.2911;4710;0;73.9;1.46;0.67;463018.367;7160796.149
6953240;3669020;62.64482635;30.29323526;76;55413.3;11.7;16.8;2599;4.2745;5230;1;74.5;1.0437796;0.84;668617.0044;6950365.204
7713600;3570370;69.49313786;28.79500601;12;940.7;6.39;36;2632;4.0089;#N/A;0;73.7;1.57;#N/A;570002.3354;7710450.264
6754110;3354880;60.8700561;24.32521514;14;13371;8.07;29;2634;4.5235;5840;1;74;1.2417378;0.52;354593.0298;6751302.962
7543660;3406370;67.96364155;24.76018833;39;24592;6.42;36.3;2613;3.9425;5050;0;73.9;1.1;1.07;406058.4562;7540572.813
6685680;3263400;60.21368262;22.72726674;14;13371;8.66;27;2588;5.063;5110;0;68.3;0.59837365;0.62;263146.7504;6682897.395
7356150;3356470;66.26458468;23.80078635;53;9371.4;7.97;29.3;2638;4.2745;5580;3;74.1;2.2;0.79;356175.3371;7353128.022
