XCOORD YCOORD GEOLAT GEOLON UNIT UNITAREA U TH RHO K PVEL METAM SIO2 FE2O3 POR
7334820 3531600 66.104686532 27.695020640 39 24592 8 31.6 2671 5.9428 5330 3 73.8 3.16 0.57
7415240 3464420 66.825319931 26.186180271 39 24592 4.75 47.2 2613 4.1749 4550 0 74.8 1.15 0.7
7619300 3397320 68.638063531 24.470288846 39 24592 3.87 50.9 2626 3.5939 4260 0 72.9 1.22 0.91
6706810 3134690 60.307278749 20.381306540 9 3089.7 10.2 25 2671 4.4156 ND 1 70.5 3.509259 0.53
7691650 3565170 69.297773206 28.647010814 12 940.7 5.74 42.6 2623 4.5484 4160 0 74 1.4666903 0.56
6830010 3371240 61.556235746 24.574237338 24 16584.2 17.1 1.71 2636 3.2702 4800 1 76 0.46430196 0.54
6763230 3351800 60.950670425 24.261578077 14 13371 10.8 23.9 2633 4.1915 5780 1 73.3 1.4576922 0.58
7378160 3354820 66.460884036 23.738594469 39 24592 13.4 15.9 2606 3.3698 ND 0 76.2 0.67 0.6
7695790 3568900 69.333943110 28.744459858 12 940.7 6.26 40.4 2612 4.4654 4720 0 74.6 1.1967473 0.66
7403310 3473850 66.719306491 26.403411762 39 24592 7.12 37.3 2613 4.2745 3110 0 73.4 1.76 1.37
6705210 3364960 60.435161910 24.544201137 14 13371 1.44 54.8 2631 6.5487 ND 0 67.2 0.9448005 0.71
7500930 3396290 67.577427059 24.559956403 39 24592 13.3 15.9 2605 3.2204 ND 0 75.8 0.6 1.49
6684420 3209690 60.167740342 21.764112401 14 13371 5.06 43.4 2643 4.7476 5630 3 72.3 1.6016618 0.32
7366610 3373650 66.365674556 24.172134445 39 24592 8.7 30.6 2640 4.233 5350 3 75.9 1.42 0.54
6799920 3374190 61.287419135 24.650069251 15 44421.3 9.65 27.5 2630 4.0753 5650 1 73.3 1.3317188 0.72
7159147 3373019 64.506874728 24.352779434 39 24592 11.8 22.7 2616 1.9837 5900 1 76.8 0.89 0.77
6798760 3212940 61.191877772 21.655116450 9 3089.7 10.9 22.6 2654 3.7018 5600 1 74.4 1.3677112 0.55
7217460 3517210 65.053268951 27.361870424 58 2653.2 6.51 38.6 2639 4.15 5940 0 74 1.27 0.46
6777920 3478090 61.109717358 26.590511982 8 9523.8 4.64 45.8 2619 4.2828 ND 0 75.6 1.9615858 1.44
7096250 3540420 63.964154978 27.821491621 39 24592 8.45 32.1 2618 3.7433 4210 0 74.4 1.04 0.76
7348760 3517100 66.230804454 27.376214056 76 55413.3 3.21 51.5 2622 3.6769 ND 3 72.7 1.53 0.64
7462550 3368850 67.222828699 23.960559288 39 24592 11.6 20.6 2593 3.6852 ND 0 75.7 0.45 1.08
6745090 3528420 60.814710877 27.519095953 8 9523.8 8.06 31 2651 4.6065 ND 1 69.7 3.689221 0.72
6687870 3412970 60.292807619 25.423242688 14 13371 2.39 52.5 2631 4.5899 5270 0 72.6 1.2777302 0.41
7227500 3498120 65.143749383 26.956254907 39 24592 2.66 50.9 2611 5.2041 4950 0 75.6 0.73 0.84
6721020 3270940 60.534334197 22.822537859 14 13371 12.2 16.4 2620 4.1168 4800 1 73.2 1.3407169 0.62
7089851 3580480 63.899845472 28.635499644 68 1730.9 4.47 45.1 2640 3.7599 5350 0 73.2 1.41 0.69
6685030 3373000 60.256799660 24.702854991 8 9523.8 5.75 38.1 2657 4.9219 ND 1 70.4 3.1943255 0.67
7156063 3397575 64.487530198 24.865691013 35 6197.2 6.39 36.9 2674 3.7018 6220 0 69.7 3.01 0.3
6717250 3505600 60.565819658 27.099015774 8 9523.8 7.01 34.6 2632 4.4405 5030 1 71.9 2.6634376 0.69
