x;y;U;A
531243.5849;7361515.2930;39;3.666201722480
205897.0916;6732768.2610;9;3.665330136800
417853.6397;7312302.7270;76;3.662633814080
441038.6709;6968285.4390;24;3.652496695680
309069.9048;6700021.4790;14;3.651990265600
257788.6491;6688065.4180;14;3.651503836600
233687.4910;6682827.1370;14;3.649039871120
475809.6336;6712979.2130;8;3.646642900920
515999.0140;7259961.5400;76;3.640168376160
653511.4862;7030489.4550;76;3.638974857520
395851.3922;7387536.1000;39;3.633686923200
656404.1378;7048843.7670;76;3.628898486280
681942.3827;6929702.8310;68;3.627437475480
556710.3329;6741580.2480;8;3.627376633440
483126.6946;6735511.1260;8;3.625387284120
488914.8228;6722086.1400;8;3.624801692800
580577.0678;7513751.0490;67;3.623348933240
376815.6467;6686667.1410;8;3.612168628600
461268.6888;7213767.5640;53;3.609887038560
497076.5690;7112783.8950;50;3.602903901200
240483.8544;6773203.6210;9;3.601551505080
395202.2651;7551888.9390;39;3.599089138960
561056.0325;7736591.0210;85;3.598596269840
246551.8512;6758549.0780;9;3.582032737360
506842.3665;7410507.9390;39;3.576032208000
390190.2494;6730811.0460;19;3.572937309120
452701.6080;7389165.5480;39;3.572118205600
466792.3329;6752144.7430;8;3.569965742080
517434.2721;6751975.7240;8;3.566551296000
648205.6562;6856269.2820;14;3.564483015360
385765.0056;7457601.6060;39;3.562387614880
477068.4017;6780864.5490;14;3.561633401040
340211.5074;7595454.3310;39;3.561035897760
259848.0698;6663634.4230;14;3.560047505840
506702.3353;7388345.7760;39;3.557693144840
631871.1618;7123464.3300;76;3.551524611840
661359.6290;6953623.9160;68;3.549070589760
601963.3674;6786834.2370;14;3.546952032600
382126.2181;7358336.3040;39;3.543764083200
481441.4081;7437348.5340;73;3.542350521600
428381.1613;7119350.6160;26;3.542350293600
533485.4821;7711750.3230;85;3.541718161800
515764.5155;6773027.9580;8;3.540757518720
401579.5240;7291929.8790;68;3.539321705160
423084.3965;7094076.6810;27;3.538542381120
341638.3258;6985292.9480;24;3.538057618040
533048.3196;6774687.5950;8;3.536174312960
299675.5749;7629822.6930;74;3.533985149816
513449.8917;7268908.3620;76;3.514756374920
212653.4162;6800543.2230;9;3.514650648960
525881.7836;6715189.2720;8;3.513768692480
225330.5489;6683366.8470;14;3.513761737280
381250.9958;6921661.7100;15;3.507884381960
535642.8918;7095500.7170;39;3.503963622800
445764.1075;7460190.6360;39;3.502025670800
496261.2338;6795109.5560;14;3.495219154000
400107.1405;6702541.6860;14;3.492737050720
301342.5747;6716025.4290;14;3.485176041600
567731.6505;7521718.3400;12;3.483858618880
550516.9757;7408818.3580;60;3.472377799440
320236.0795;6675820.6300;19;3.471059273440
529874.6241;7123060.6850;39;3.471046545320
366851.5530;7448944.7770;39;3.470438353200
356446.5043;7138243.9510;24;3.467992808000
288209.5905;7652974.7680;76;3.464423955080
381881.9210;7041697.1160;15;3.455065523520
348072.5765;6943023.4440;24;3.447248300760
