Aika [a];Lämpöteho [kW];Kentästä tuleva lämpötila [°C];Kenttään menevä lämpötila
5.608859788;2916.806;10.564;2
5.690413942;2749.356;10.073;2
5.853522250;2579.314;9.574;2
6.000000000;2480.955;9.286;40
6.000000075;9.139;9.049;40
6.000000151;116.858;9.097;40
6.000000302;-179.541;9.109;40
6.000000603;-774.232;9.171;40
6.000001206;-1519.393;9.269;40
6.000001810;-2115.263;9.354;40
6.000003016;-2929.103;9.508;40
6.000005429;-3971.338;9.769;40
6.000007842;-4704.809;9.998;40
6.000012668;-5594.473;10.376;40
6.000017494;-6190.771;10.695;40
6.000027145;-6858.983;11.196;40
6.000046449;-7413.472;12.017;40
6.000065752;-7595.777;12.859;40
6.000104358;-7489.369;14.659;40
6.000142965;-7259.352;16.289;40
6.000220178;-6834.508;18.502;40
6.000374604;-6273.337;20.851;40
6.000529031;-5891.580;22.258;40
6.000837883;-5433.367;23.804;40
6.001146736;-5126.834;24.791;40
6.001764441;-4755.454;25.947;40
6.002999851;-4349.081;27.184;40
6.004235261;-4092.738;27.955;40
6.006706081;-3799.958;28.828;40
6.011647721;-3495.719;29.730;40
6.016589361;-3307.826;30.285;40
6.026472641;-3092.841;30.918;40
6.046239201;-2868.127;31.580;40
6.066005761;-2729.574;31.987;40
6.105538881;-2571.414;32.452;40
6.184605121;-2404.007;32.943;40
6.342737602;-2235.260;33.438;40
6.500000000;-2130.941;33.744;40
6.500000078;354.271;33.979;2
6.500000156;247.572;33.932;2
6.500000311;550.978;33.917;2
6.500000622;1149.061;33.855;2
6.500001244;1909.952;33.756;2
6.500001867;2511.453;33.669;2
6.500003111;3336.954;33.510;2
6.500005600;4387.075;33.243;2
6.500008089;5119.166;33.009;2
6.500013066;6002.802;32.625;2
6.500018044;6593.750;32.301;2
6.500027999;7253.243;31.794;2
6.500047910;7786.126;30.950;2
6.500067820;7950.153;30.075;2
6.500107642;7821.664;28.224;2
6.500147463;7581.600;26.577;2
6.500227105;7151.447;24.374;2
6.500386390;6589.806;22.050;2
6.500545674;6209.291;20.659;2
6.500864243;5753.451;19.128;2
6.501182813;5448.731;18.150;2
6.501819951;5079.675;17.003;2
6.503094228;4676.052;15.776;2
6.504368505;4421.625;15.012;2
6.506917058;4131.195;14.146;2
6.512014165;3829.237;13.251;2
6.517111272;3642.610;12.700;2
6.527305487;3429.006;12.071;2
6.547693915;3205.682;11.413;2
6.568082344;3067.888;11.008;2
6.608859201;2910.312;10.545;2
6.690412915;2742.946;10.054;2
6.853520344;2573.062;9.556;2
7.000000000;2474.837;9.268;40
7.000000075;3.019;9.031;40
7.000000151;110.742;9.079;40
7.000000302;-185.655;9.091;40
7.000000603;-780.340;9.153;40
7.000001206;-1525.492;9.251;40
7.000001810;-2121.456;9.336;40
7.000003016;-2935.300;9.490;40
7.000005429;-3977.517;9.751;40
7.000007842;-4710.833;9.980;40
7.000012668;-5600.592;10.358;40
7.000017494;-6196.943;10.677;40
7.000027145;-6864.524;11.178;40
7.000046448;-7419.557;11.999;40
7.000065751;-7601.887;12.841;40
7.000104358;-7495.543;14.641;40
7.000142964;-7265.475;16.271;40
7.000220177;-6840.635;18.484;40
7.000374602;-6279.468;20.833;40
7.000529028;-5897.701;22.240;40
7.000837878;-5439.491;23.786;40
7.001146729;-5132.957;24.773;40
7.001764431;-4761.575;25.929;40
7.002999834;-4355.200;27.166;40
7.004235238;-4098.856;27.937;40
7.006706044;-3806.073;28.810;40
7.011647657;-3501.829;29.712;40
7.016589270;-3313.931;30.267;40
7.026472497;-3098.937;30.900;40
7.046238949;-2874.205;31.562;40
7.066005402;-2735.634;31.969;40
7.105538307;-2577.439;32.434;40
7.184604117;-2409.963;32.926;40
7.342735738;-2241.087;33.421;40
7.500000000;-2136.644;33.727;40
7.500000078;348.565;33.962;2
7.500000156;241.872;33.915;2
7.500000311;545.263;33.901;2
7.500000622;1143.354;33.839;2
7.500001244;1904.258;33.739;2
7.500001867;2505.766;33.652;2
7.500003111;3331.219;33.494;2
7.500005600;4381.417;33.226;2
7.500008089;5113.494;32.992;2
7.500013066;5997.538;32.608;2
7.500018044;6588.223;32.285;2
7.500027999;7247.689;31.778;2
7.500047910;7780.588;30.934;2
7.500067820;7944.535;30.058;2
7.500107641;7815.989;28.207;2
7.500147462;7575.906;26.560;2
7.500227104;7145.741;24.357;2
7.500386388;6584.101;22.034;2
7.500545672;6203.592;20.642;2
7.500864240;5747.749;19.111;2
7.501182807;5443.033;18.134;2
7.501819943;5073.976;16.986;2
7.503094214;4670.355;15.759;2
7.504368485;4415.928;14.995;2
7.506917027;4125.500;14.129;2
7.512014112;3823.545;13.235;2
7.517111197;3636.922;12.683;2
7.527305366;3423.326;12.054;2
7.547693704;3200.017;11.397;2
7.568082042;3062.238;10.992;2
7.608858718;2904.693;10.529;2
7.690412071;2737.386;10.038;2
7.853518776;2567.615;9.540;2
8.000000000;2469.486;9.253;40
8.000000075;-2.334;9.015;40
8.000000151;105.393;9.063;40
8.000000302;-191.004;9.075;40
8.000000603;-785.683;9.137;40
8.000001206;-1530.829;9.235;40
8.000001810;-2126.865;9.320;40
8.000003016;-2940.745;9.475;40
8.000005429;-3982.808;9.735;40
8.000007842;-4716.135;9.965;40
8.000012668;-5606.080;10.342;40
8.000017493;-6202.316;10.662;40
8.000027145;-6870.326;11.162;40
8.000046448;-7424.838;11.983;40
8.000065751;-7607.273;12.825;40
8.000104357;-7500.900;14.626;40
8.000142963;-7270.831;16.255;40
8.000220176;-6845.981;18.469;40
8.000374601;-6284.823;20.817;40
8.000529025;-5903.058;22.224;40
8.000837875;-5444.843;23.770;40
8.001146724;-5138.308;24.757;40
8.001764423;-4766.929;25.914;40
8.002999821;-4360.552;27.150;40
8.004235218;-4104.207;27.921;40
8.006706013;-3811.422;28.794;40
8.011647604;-3507.174;29.696;40
8.016589194;-3319.273;30.251;40
8.026472376;-3104.273;30.885;40
8.046238738;-2879.527;31.546;40
8.066005100;-2740.943;31.954;40
8.105537824;-2582.722;32.419;40
8.184603273;-2415.197;32.911;40
8.342734170;-2246.226;33.406;40
8.500000000;-2141.692;33.712;40
8.500000078;343.515;33.947;2
8.500000156;236.827;33.900;2
8.500000311;540.208;33.886;2
8.500000622;1138.314;33.824;2
8.500001244;1899.219;33.724;2
8.500001867;2500.734;33.637;2
8.500003111;3326.175;33.479;2
8.500005600;4376.462;33.211;2
8.500008089;5108.474;32.977;2
8.500013066;5992.939;32.594;2
8.500018044;6583.267;32.270;2
8.500027999;7242.726;31.763;2
8.500047909;7775.504;30.919;2
8.500067820;7939.517;30.043;2
8.500107641;7810.977;28.193;2
8.500147461;7570.860;26.545;2
8.500227103;7140.699;24.342;2
8.500386386;6579.058;22.019;2
8.500545670;6198.554;20.627;2
8.500864236;5742.707;19.097;2
8.501182803;5437.989;18.119;2
8.501819936;5068.932;16.972;2
8.503094202;4665.311;15.745;2
8.504368469;4410.885;14.980;2
8.506917001;4120.458;14.114;2
8.512014067;3818.506;13.220;2
8.517111132;3631.886;12.669;2
8.527305262;3418.296;12.039;2
8.547693524;3194.998;11.382;2
8.568081785;3057.230;10.977;2
8.608858307;2899.708;10.514;2
8.690411352;2732.445;10.023;2
8.853517441;2562.760;9.526;2
9.000000000;2464.704;9.238;40
9.000000075;-7.118;9.001;40
9.000000151;100.612;9.049;40
9.000000302;-195.785;9.061;40
9.000000603;-790.459;9.123;40
9.000001206;-1535.601;9.221;40
9.000001810;-2131.685;9.306;40
9.000003016;-2945.549;9.461;40
9.000005429;-3987.634;9.721;40
9.000007842;-4720.905;9.951;40
9.000012668;-5610.689;10.328;40
9.000017493;-6207.014;10.648;40
9.000027145;-6874.872;11.148;40
9.000046448;-7429.691;11.969;40
9.000065751;-7612.030;12.811;40
9.000104357;-7505.651;14.612;40
9.000142963;-7275.616;16.241;40
9.000220175;-6850.784;18.454;40
9.000374599;-6289.611;20.803;40
9.000529023;-5907.844;22.210;40
9.000837871;-5449.630;23.756;40
9.001146720;-5143.094;24.743;40
9.001764416;-4771.714;25.900;40
9.002999809;-4365.336;27.136;40
9.004235201;-4108.990;27.907;40
9.006705987;-3816.204;28.780;40
9.011647558;-3511.953;29.682;40
9.016589129;-3324.049;30.237;40
9.026472271;-3109.044;30.871;40
9.046238554;-2884.288;31.532;40
9.066004838;-2745.695;31.940;40
9.105537406;-2587.454;32.405;40
9.184602541;-2419.891;32.897;40
9.342732811;-2250.846;33.392;40
9.500000000;-2146.241;33.699;40
9.500000078;338.963;33.934;2
9.500000156;232.279;33.887;2
9.500000311;535.652;33.872;2
9.500000622;1133.773;33.810;2
9.500001244;1894.671;33.711;2
9.500001867;2496.196;33.624;2
9.500003111;3321.654;33.466;2
9.500005600;4371.993;33.198;2
9.500008089;5103.953;32.964;2
9.500013066;5988.728;32.580;2
9.500018044;6578.785;32.256;2
9.500027999;7238.272;31.749;2
9.500047909;7770.919;30.905;2
9.500067820;7934.918;30.030;2
9.500107640;7806.400;28.179;2
9.500147461;7566.310;26.532;2
9.500227102;7136.159;24.329;2
9.500386385;6574.506;22.005;2
9.500545668;6194.003;20.614;2
9.500864233;5738.161;19.083;2
9.501182799;5433.443;18.105;2
9.501819930;5064.387;16.958;2
9.503094192;4660.766;15.731;2
9.504368454;4406.340;14.967;2
9.506916978;4115.914;14.101;2
9.512014027;3813.964;13.206;2
9.517111075;3627.346;12.655;2
9.527305172;3413.760;12.026;2
9.547693366;3190.471;11.369;2
9.568081560;3052.712;10.964;2
9.608857948;2895.208;10.501;2
9.690410723;2727.979;10.010;2
9.853516274;2558.361;9.513;2
10.000000000;2460.362;9.226;40
10.000000075;-11.460;8.989;40
10.000000151;96.273;9.036;40
10.000000302;-200.125;9.048;40
10.000000603;-794.796;9.110;40
10.000001206;-1539.934;9.208;40
10.000001810;-2136.049;9.293;40
10.000003016;-2949.920;9.448;40
10.000005429;-3991.996;9.708;40
10.000007842;-4725.281;9.938;40
10.000012668;-5614.973;10.315;40
10.000017493;-6211.363;10.635;40
10.000027145;-6879.043;11.135;40
10.000046448;-7434.050;11.956;40
10.000065751;-7616.370;12.798;40
10.000104357;-7510.024;14.599;40
10.000142962;-7279.965;16.229;40
10.000220174;-6855.140;18.442;40
10.000374598;-6293.957;20.790;40
10.000529021;-5912.187;22.198;40
10.000837868;-5453.972;23.744;40
10.001146715;-5147.438;24.730;40
10.001764410;-4776.057;25.887;40
10.002999798;-4369.679;27.123;40
10.004235186;-4113.333;27.894;40
10.006705963;-3820.545;28.767;40
10.011647517;-3516.292;29.669;40
10.016589070;-3328.386;30.224;40
10.026472178;-3113.376;30.858;40
10.046238392;-2888.613;31.519;40
10.066004606;-2750.011;31.927;40
10.105537035;-2591.755;32.392;40
10.184601892;-2424.161;32.884;40
10.342731607;-2255.059;33.380;40
10.500000000;-2150.396;33.686;40
10.500000078;334.806;33.922;2
10.500000156;228.126;33.875;2
10.500000311;531.492;33.860;2
10.500000622;1129.623;33.798;2
10.500001244;1890.516;33.698;2
10.500001867;2492.049;33.612;2
10.500003111;3317.517;33.453;2
10.500005600;4367.880;33.185;2
10.500008089;5099.834;32.952;2
10.500013066;5984.891;32.568;2
10.500018044;6574.602;32.244;2
10.500027999;7233.843;31.737;2
10.500047909;7766.725;30.893;2
10.500067819;7930.748;30.017;2
10.500107640;7802.277;28.167;2
10.500147461;7562.168;26.520;2
10.500227102;7132.015;24.317;2
10.500386384;6570.365;21.993;2
10.500545666;6189.853;20.602;2
10.500864231;5734.011;19.071;2
10.501182795;5429.292;18.093;2
10.501819925;5060.235;16.946;2
10.503094183;4656.614;15.719;2
10.504368441;4402.189;14.955;2
10.506916958;4111.763;14.089;2
10.512013992;3809.815;13.194;2
10.517111025;3623.199;12.643;2
10.527305092;3409.616;12.014;2
10.547693226;3186.334;11.357;2
10.568081360;3048.582;10.952;2
10.608857627;2891.092;10.489;2
10.690410162;2723.892;9.998;2
10.853515233;2554.328;9.501;2
11.000000000;2456.376;9.214;40
11.000000075;-15.447;8.977;40
11.000000151;92.288;9.024;40
11.000000302;-204.109;9.037;40
11.000000603;-798.778;9.099;40
11.000001206;-1543.914;9.197;40
11.000001810;-2140.052;9.282;40
11.000003016;-2953.922;9.436;40
11.000005429;-3995.992;9.697;40
11.000007842;-4729.236;9.926;40
11.000012668;-5619.086;10.304;40
11.000017493;-6215.325;10.623;40
11.000027145;-6883.119;11.123;40
11.000046448;-7437.967;11.945;40
11.000065750;-7620.413;12.787;40
11.000104356;-7513.993;14.587;40
11.000142962;-7283.949;16.217;40
11.000220174;-6859.113;18.430;40
11.000374597;-6297.943;20.778;40
11.000529020;-5916.177;22.186;40
11.000837866;-5457.965;23.732;40
11.001146712;-5151.427;24.718;40
11.001764404;-4780.046;25.875;40
11.002999789;-4373.667;27.112;40
11.004235173;-4117.320;27.883;40
11.006705942;-3824.531;28.756;40
11.011647480;-3520.276;29.657;40
11.016589018;-3332.368;30.213;40
11.026472094;-3117.355;30.846;40
11.046238246;-2892.585;31.508;40
11.066004397;-2753.977;31.915;40
11.105536701;-2595.709;32.381;40
11.184601308;-2428.090;32.873;40
11.342730523;-2258.939;33.369;40
11.500000000;-2154.229;33.675;40
11.500000078;330.972;33.911;2
11.500000156;224.294;33.864;2
11.500000311;527.655;33.849;2
11.500000622;1125.793;33.787;2
11.500001244;1886.684;33.687;2
11.500001867;2488.223;33.600;2
11.500003111;3313.696;33.442;2
11.500005600;4364.087;33.174;2
11.500008089;5096.029;32.940;2
11.500013066;5981.258;32.557;2
11.500018044;6570.780;32.233;2
11.500027999;7230.022;31.726;2
11.500047909;7762.921;30.882;2
11.500067819;7926.932;30.006;2
11.500107640;7798.453;28.156;2
11.500147460;7558.336;26.509;2
11.500227101;7128.174;24.305;2
11.500386383;6566.547;21.982;2
11.500545665;6186.023;20.590;2
11.500864229;5730.180;19.060;2
