x,y,k_rock,Cp_rock,rho_rock,T_surface,q_geothermal,E_borehole,E_hectare
25502197.204600,6669276.051090,3.17,731,2675,6.970,40.728,5.15,128.9
25502297.204600,6669276.051090,3.17,731,2675,6.972,40.731,5.16,128.9
25502397.204600,6669276.051090,3.17,731,2675,6.976,40.734,5.16,128.9
25502497.204600,6669276.051090,3.17,731,2675,6.979,40.737,5.16,129.0
25499697.204600,6669376.051090,3.17,731,2675,7.004,40.659,5.17,129.3
25499797.204600,6669376.051090,3.17,731,2675,7.004,40.661,5.17,129.3
25499897.204600,6669376.051090,3.17,731,2675,7.003,40.664,5.17,129.3
25499997.204600,6669376.051090,3.17,731,2675,7.002,40.666,5.17,129.3
25500097.204600,6669376.051090,3.17,731,2675,7.001,40.669,5.17,129.3
25500197.204600,6669376.051090,3.17,731,2675,7.000,40.672,5.17,129.2
25500297.204600,6669376.051090,3.17,731,2675,6.999,40.674,5.17,129.2
25500397.204600,6669376.051090,2.66,731,2906,6.998,40.677,5.16,129.0
25500497.204600,6669376.051090,2.66,731,2906,6.997,40.680,5.16,129.0
25501297.204600,6669376.051090,2.66,731,2906,6.988,40.703,5.16,128.9
25501897.204600,6669376.051090,3.17,731,2675,6.976,40.722,5.16,128.9
25501997.204600,6669376.051090,3.17,731,2675,6.974,40.724,5.16,128.9
25502097.204600,6669376.051090,3.17,731,2675,6.973,40.727,5.16,128.9
25502197.204600,6669376.051090,3.17,731,2675,6.974,40.730,5.16,128.9
25502297.204600,6669376.051090,3.17,731,2675,6.975,40.733,5.16,128.9
25502397.204600,6669376.051090,3.17,731,2675,6.978,40.736,5.16,129.0
25502497.204600,6669376.051090,3.17,731,2675,6.981,40.739,5.16,129.0
25502597.204600,6669376.051090,3.17,731,2675,6.984,40.742,5.16,129.1
25502797.204600,6669376.051090,3.17,731,2675,6.990,40.750,5.17,129.1
25502897.204600,6669376.051090,3.17,731,2675,6.992,40.753,5.17,129.2
25502997.204600,6669376.051090,3.17,731,2675,6.994,40.756,5.17,129.2
25503197.204600,6669376.051090,3.17,731,2675,7.001,40.763,5.17,129.3
25503297.204600,6669376.051090,3.17,731,2675,7.005,40.765,5.17,129.4
25503397.204600,6669376.051090,3.17,731,2675,7.010,40.769,5.18,129.4
25503497.204600,6669376.051090,3.17,731,2675,7.015,40.771,5.18,129.5
25499197.204600,6669476.051090,3.17,731,2675,7.008,40.648,5.17,129.3
25499297.204600,6669476.051090,3.17,731,2675,7.008,40.650,5.17,129.3
25499397.204600,6669476.051090,3.17,731,2675,7.007,40.653,5.17,129.3
25499797.204600,6669476.051090,3.17,731,2675,7.003,40.663,5.17,129.3
25499897.204600,6669476.051090,3.17,731,2675,7.002,40.665,5.17,129.3
25499997.204600,6669476.051090,3.17,731,2675,7.001,40.668,5.17,129.3
25500097.204600,6669476.051090,3.17,731,2675,7.001,40.671,5.17,129.3
25500197.204600,6669476.051090,3.17,731,2675,7.000,40.673,5.17,129.2
25500297.204600,6669476.051090,3.17,731,2675,6.999,40.676,5.17,129.2
25500397.204600,6669476.051090,3.17,731,2675,6.998,40.679,5.17,129.2
25500497.204600,6669476.051090,3.17,731,2675,6.997,40.681,5.17,129.2
25501697.204600,6669476.051090,2.66,731,2906,6.982,40.717,5.15,128.8
25501897.204600,6669476.051090,3.17,731,2675,6.979,40.723,5.16,129.0
25501997.204600,6669476.051090,3.17,731,2675,6.978,40.726,5.16,129.0
25502097.204600,6669476.051090,3.17,731,2675,6.977,40.729,5.16,129.0
25502197.204600,6669476.051090,3.17,731,2675,6.978,40.732,5.16,129.0
25502297.204600,6669476.051090,3.17,731,2675,6.979,40.735,5.16,129.0
25502397.204600,6669476.051090,3.17,731,2675,6.981,40.738,5.16,129.0
25502497.204600,6669476.051090,3.17,731,2675,6.984,40.741,5.16,129.1
25502597.204600,6669476.051090,3.17,731,2675,6.986,40.744,5.16,129.1
25502697.204600,6669476.051090,3.17,731,2675,6.989,40.748,5.16,129.1
25502797.204600,6669476.051090,3.17,731,2675,6.991,40.751,5.17,129.2
25502897.204600,6669476.051090,3.17,731,2675,6.994,40.754,5.17,129.2
25502997.204600,6669476.051090,3.17,731,2675,6.996,40.758,5.17,129.2
25503097.204600,6669476.051090,3.17,731,2675,6.999,40.761,5.17,129.3
25503197.204600,6669476.051090,3.17,731,2675,7.003,40.764,5.17,129.3
25503297.204600,6669476.051090,3.17,731,2675,7.008,40.768,5.18,129.4
25503397.204600,6669476.051090,3.17,731,2675,7.013,40.771,5.18,129.5
25499197.204600,6669576.051090,3.17,731,2675,7.008,40.649,5.17,129.3
25499297.204600,6669576.051090,3.17,731,2675,7.007,40.651,5.17,129.3
25499397.204600,6669576.051090,3.17,731,2675,7.006,40.654,5.17,129.3
25499697.204600,6669576.051090,3.17,731,2675,7.003,40.662,5.17,129.3
25499797.204600,6669576.051090,3.17,731,2675,7.003,40.664,5.17,129.3
25499897.204600,6669576.051090,3.17,731,2675,7.002,40.667,5.17,129.3
25499997.204600,6669576.051090,3.17,731,2675,7.001,40.670,5.17,129.3
25500097.204600,6669576.051090,3.17,731,2675,7.000,40.672,5.17,129.2
25500197.204600,6669576.051090,3.17,731,2675,6.999,40.675,5.17,129.2
25500297.204600,6669576.051090,3.17,731,2675,6.998,40.678,5.17,129.2
